Date,BBAS3,BBDC4,ITUB4
2017-05-08,24.453609466552734,13.977160453796387,21.364412307739258
2017-05-09,24.544519424438477,14.100035667419434,21.41948699951172
2017-05-10,25.264188766479492,14.309410095214844,21.52413558959961
2017-05-11,26.052034378051758,14.395882606506348,21.893142700195312
2017-05-12,26.809585571289062,14.541518211364746,22.10245704650879
2017-05-15,26.324748992919922,14.564279556274414,22.19607925415039
2017-05-16,26.324748992919922,14.587039947509766,22.168529510498047
2017-05-17,25.61266326904297,14.30030345916748,21.716903686523438
2017-05-18,20.514371871948242,12.425154685974121,19.100740432739258
2017-05-19,21.196163177490234,12.629963874816895,19.596439361572266
2017-05-22,20.21135139465332,12.270410537719727,19.210895538330078
2017-05-23,20.686513900756836,12.352333068847656,19.51382827758789
2017-05-24,21.052654266357422,12.493427276611328,19.673545837402344
2017-05-25,21.13654899597168,12.406946182250977,19.304529190063477
2017-05-26,22.01374626159668,12.693679809570312,19.827760696411133
2017-05-29,22.01374626159668,12.693679809570312,19.827760696411133
2017-05-30,22.120534896850586,12.766501426696777,19.789209365844727
2017-05-31,21.617101669311523,12.525285720825195,19.579912185668945
2017-06-01,21.38826560974121,12.457014083862305,19.356761932373047
2017-06-02,21.418781280517578,12.283473014831543,19.549606323242188
2017-06-05,21.052654266357422,12.27436351776123,19.52757453918457
2017-06-06,21.82305335998535,12.43832778930664,19.84164047241211
2017-06-07,21.914579391479492,12.638725280761719,20.166738510131836
2017-06-08,21.58658790588379,12.44743824005127,19.957347869873047
2017-06-09,21.235715866088867,12.192383766174316,19.643280029296875
2017-06-12,20.732284545898438,11.996542930603027,19.643280029296875
2017-06-13,20.96068572998047,11.900895118713379,19.885723114013672
2017-06-14,20.95303726196289,12.360902786254883,20.06203842163086
2017-06-15,20.95303726196289,12.360902786254883,20.06203842163086
2017-06-16,21.029541015625,12.301692008972168,19.918779373168945
2017-06-19,20.754138946533203,12.333571434020996,20.023466110229492
2017-06-20,19.889705657958984,12.046639442443848,19.58266258239746
2017-06-21,19.78261375427246,11.978324890136719,19.604707717895508
2017-06-22,19.889705657958984,12.128619194030762,19.621234893798828
2017-06-23,19.491905212402344,12.028420448303223,19.555116653442383
2017-06-26,20.631742477416992,12.570402145385742,20.10611915588379
2017-06-27,19.966203689575195,12.429214477539062,19.924297332763672
2017-06-28,20.188045501708984,12.533975601196289,19.918779373168945
2017-06-29,20.31808853149414,12.593181610107422,20.117141723632812
2017-06-30,20.501691818237305,12.820904731750488,20.249387741088867
2017-07-03,20.784738540649414,12.93083667755127,20.439556121826172
2017-07-04,20.891836166381836,12.948720932006836,20.356874465942383
2017-07-05,20.784738540649414,12.953310012817383,20.411996841430664
2017-07-06,20.647037506103516,12.765177726745605,20.125356674194336
2017-07-07,20.371644973754883,12.778947830200195,19.932430267333984
2017-07-10,20.585844039916992,12.921191215515137,20.092287063598633
2017-07-11,21.45028305053711,13.146026611328125,20.39545249938965
2017-07-12,22.062271118164062,13.494756698608398,20.615949630737305
2017-07-13,22.261171340942383,13.614048957824707,20.67107582092285
2017-07-14,22.498315811157227,13.62781810760498,20.715179443359375
2017-07-17,22.383567810058594,13.536042213439941,20.516727447509766
2017-07-18,22.398862838745117,13.705819129943848,20.538768768310547
2017-07-19,22.475364685058594,13.536042213439941,20.241117477416992
2017-07-20,22.67426109313965,13.490157127380371,20.263168334960938
2017-07-21,22.498315811157227,13.435100555419922,20.26868438720703
2017-07-24,22.245866775512695,13.549816131591797,20.39545249938965
2017-07-25,22.61306381225586,13.770060539245605,20.445068359375
2017-07-26,22.062271118164062,13.6507568359375,20.351356506347656
2017-07-27,21.871023178100586,13.632404327392578,20.373409271240234
2017-07-28,21.84807014465332,13.6507568359375,20.450580596923828
2017-07-31,21.955175399780273,13.852655410766602,20.57185173034668
2017-08-01,22.414159774780273,14.022428512573242,21.230825424194336
2017-08-02,23.316850662231445,14.214786529541016,21.451416015625
2017-08-03,23.469844818115234,14.210203170776367,21.401784896850586
2017-08-04,23.615196228027344,14.22397518157959,21.34663200378418
2017-08-07,23.98239517211914,14.389265060424805,21.683021545410156
2017-08-08,23.98239517211914,14.540783882141113,21.947711944580078
2017-08-09,23.538692474365234,14.549957275390625,21.809858322143555
2017-08-10,23.6534481048584,14.412220001220703,21.534135818481445
2017-08-11,23.63814353942871,14.540783882141113,21.644418716430664
2017-08-14,23.783493041992188,14.830033302307129,22.035945892333984
2017-08-15,23.668750762939453,14.866761207580566,22.130084991455078
2017-08-16,23.477502822875977,14.866761207580566,22.174644470214844
2017-08-17,23.064401626586914,14.74279499053955,21.996400833129883
2017-08-18,23.270954132080078,15.045825004577637,22.208066940307617
2017-08-21,23.576946258544922,15.041234970092773,22.04652976989746
2017-08-22,24.63529396057129,15.380989074707031,22.514419555664062
